Object                                   Vmag   Distance_Mpc
WINGSJ214708.53-433830.5              19.1200     1.1413e+02
WINGSJ214601.53-440431.7              19.6100     6.4863e+02
WINGSJ222847.15-304925.5              19.3700     1.2365e+03
WINGSJ214748.05-434307.5              19.4900     6.7889e+02
WINGSJ214546.70-433959.5              19.8300     6.8391e+02
WINGSJ222656.24-303654.3              19.5200     8.3676e+02
WINGSJ222849.54-302311.9              19.6900     8.5428e+02
PGC3222327                            18.2200     2.7240e+02
WINGSJ222719.84-303449.2              18.4900     2.4774e+02
WINGSJ214743.83-435650.5              19.8700     1.3938e+03
WINGSJ214711.06-434509.5              19.4700     1.4002e+03
PGC3225617                            18.7600     2.6038e+02
WINGSJ214534.62-434103.0              18.5400     6.8865e+02
WINGSJ214632.34-434512.7              18.4500     2.6829e+02
WINGSJ214633.13-435030.9              17.8200     2.5562e+02
WINGSJ214614.44-440915.9              19.6800     1.5596e+03
WINGSJ214717.03-433849.6              19.3900     2.7102e+02
PGC3222350                            18.4500     2.5763e+02
WINGSJ214657.60-440733.5              19.6400     1.1236e+03
WINGSJ214717.58-434404.5              18.3300     7.5718e+02
WINGSJ214809.52-434519.0              19.4100     7.0437e+02
WINGSJ214601.29-435001.1              19.3500     6.4150e+02
WINGSJ222715.11-302857.8              19.7400     2.3977e+02
WINGSJ214555.60-434258.3              18.6700     6.8802e+02
WINGSJ214717.11-435426.6              18.0100     2.7900e+02
WINGSJ214702.16-435400.4              19.7900     2.7441e+02
WINGSJ214812.00-433809.9              18.5900     2.9188e+02
WINGSJ214823.00-435704.2              19.7200     2.8249e+02
WINGSJ214722.58-435709.0              19.8600     2.7568e+02
WINGSJ222712.49-304624.0              19.1500     3.7273e+02
WINGSJ222854.98-302901.8              18.7600     2.5834e+02
PGC3225640                            18.9100     2.5763e+02
WINGSJ214529.38-433858.6              19.2700     5.0050e+02
WINGSJ222722.87-303533.0              19.7200     3.3853e+02
WINGSJ214732.56-440128.3              19.8600     1.6451e+03
WINGSJ222756.34-302831.9              19.3300     7.9323e+02
WINGSJ214811.76-435301.2              19.6200     6.7795e+02
WINGSJ214804.91-434827.9              18.4900     6.7983e+02
PGC3222372                            18.4100     2.5363e+02
PGC713027                             17.1700     2.5704e+02
WINGSJ222838.36-304916.0              18.2400     5.4551e+02
WINGSJ214527.99-434123.6              19.8200     6.9119e+02
